# Stage-1 #5 coverage summary (n_toys=20)
# ix iy coverage sigma truth_mean unfolded_mean
7 13 0.6500 2.601203e-43 5.201081e-41 5.201475e-41
7 14 0.4500 6.865094e-44 1.467349e-41 1.464862e-41
7 15 0.6500 3.769653e-44 2.183528e-42 2.177951e-42
8 0 0.5500 1.376657e-42 1.186216e-40 1.187532e-40
8 1 0.7000 1.529211e-41 5.708246e-39 5.711301e-39
8 2 0.5500 9.274696e-42 7.333727e-39 7.336156e-39
8 3 0.5500 1.178109e-41 6.807268e-39 6.806835e-39
8 4 0.7000 9.671519e-42 6.311435e-39 6.310002e-39
8 5 0.7500 8.621231e-42 5.832718e-39 5.833129e-39
8 6 0.6500 6.497527e-42 5.274307e-39 5.274893e-39
8 7 0.7500 4.039039e-42 4.189521e-39 4.189578e-39
8 8 0.7500 3.785494e-42 2.558784e-39 2.558687e-39
8 9 0.7000 3.465968e-42 1.296872e-39 1.296456e-39
8 10 0.7500 2.381320e-42 6.189362e-40 6.186689e-40
8 11 0.7500 1.214522e-42 3.346341e-40 3.344945e-40
8 12 0.7500 5.307350e-43 1.397606e-40 1.397531e-40
8 13 0.7500 2.481703e-43 5.761530e-41 5.761774e-41
8 14 0.7000 7.042414e-44 1.627491e-41 1.625398e-41
8 15 0.6500 3.065939e-44 2.328125e-42 2.325099e-42
9 1 0.8500 2.840663e-42 4.690664e-40 4.691785e-40
9 2 0.7500 1.393027e-41 5.507752e-39 5.508580e-39
9 3 0.6000 1.548808e-41 5.991907e-39 5.991220e-39
9 4 0.7000 1.262735e-41 5.514494e-39 5.512680e-39
9 5 0.6000 9.192108e-42 4.966438e-39 4.966648e-39
9 6 0.7000 8.039026e-42 4.333062e-39 4.333430e-39
9 7 0.6500 4.979924e-42 3.293293e-39 3.293151e-39
9 8 0.5000 3.773462e-42 1.914537e-39 1.914539e-39
9 9 0.7000 2.472673e-42 9.723604e-40 9.721161e-40
9 10 0.7500 1.342878e-42 5.003374e-40 5.001549e-40
9 11 0.5500 1.517235e-42 2.950710e-40 2.949745e-40
9 12 0.8000 5.377058e-43 1.355225e-40 1.355280e-40
9 13 0.7500 3.333097e-43 5.859401e-41 5.860412e-41
9 14 0.6000 4.829158e-44 1.699732e-41 1.698396e-41
9 15 0.7500 3.680234e-44 2.439823e-42 2.439008e-42
10 2 0.7000 2.752958e-42 4.876385e-40 4.877948e-40
10 3 0.7500 7.649078e-42 3.094448e-39 3.094494e-39
10 4 0.6500 6.881510e-42 3.689252e-39 3.688545e-39
10 5 0.6500 4.991196e-42 3.286565e-39 3.287176e-39
10 6 0.7000 4.547572e-42 2.795155e-39 2.795765e-39
10 7 0.6500 3.671739e-42 2.032438e-39 2.032430e-39
10 8 0.6500 2.202995e-42 1.156808e-39 1.156687e-39
10 9 0.6500 1.285922e-42 6.148191e-40 6.145674e-40
10 10 0.6500 1.205548e-42 3.527791e-40 3.525619e-40
10 11 0.7500 7.926224e-43 2.335700e-40 2.334294e-40
10 12 0.6000 3.165495e-43 1.236546e-40 1.236151e-40
10 13 0.6000 2.022703e-43 5.717233e-41 5.716570e-41
10 14 0.6500 5.682004e-44 1.704012e-41 1.702386e-41
10 15 0.7500 1.881959e-44 2.369865e-42 2.368800e-42
11 3 0.6000 4.561799e-43 1.647384e-41 1.647912e-41
11 4 0.6500 3.601192e-42 8.927855e-40 8.929818e-40
11 5 0.6000 4.261886e-42 1.413129e-39 1.413808e-39
11 6 0.7000 2.872791e-42 1.224128e-39 1.224729e-39
11 7 0.6500 1.602787e-42 8.986936e-40 8.987874e-40
11 8 0.6000 1.146079e-42 5.412002e-40 5.411763e-40
11 9 0.7000 1.051062e-42 3.317696e-40 3.316417e-40
11 10 0.7000 9.619454e-43 2.269341e-40 2.267900e-40
11 11 0.5500 1.006765e-42 1.718450e-40 1.717344e-40
11 12 0.6000 3.272998e-43 1.034309e-40 1.033896e-40
11 13 0.8000 2.436110e-43 5.145843e-41 5.144702e-41
11 14 0.6500 5.765012e-44 1.607533e-41 1.606165e-41
