enu_low,enu_high,enu_center,local_cv,local_unweighted,local_cv_over_unweighted,paper_cv,paper_over_local
4.7,4.800000000000001,4.75,0.00011903527813136736,0.00013206010967171808,0.9013719466633147,0.0001067875,0.8971079975311965
4.800000000000001,4.9,4.8500000000000005,0.00012133001085658845,0.0001343378816715356,0.9031704932883176,0.00010902776000000001,0.898605046107433
4.9,5.0,4.95,0.0001241205037907633,0.00013738474189819424,0.9034518831992269,0.00011126802000000001,0.8964515660327207
5.0,5.1,5.05,0.00012678814239027,0.00013967381149030433,0.9077445588221181,0.00011350827999999999,0.8952594293132483
5.1,5.2,5.15,0.000128818801163458,0.00014178328016969195,0.9085612986896795,0.00011574854,0.8985376276955631
5.2,5.300000000000001,5.25,0.0001313075233358416,0.00014398908935846203,0.911926896134126,0.0001179888,0.8985684673849443
5.300000000000001,5.4,5.3500000000000005,0.00013360684085621062,0.00014604536683473566,0.914831081272161,0.0001191569,0.8918472979107273
5.4,5.5,5.45,0.0001345740388885123,0.0001465075696808486,0.9185466606378616,0.000120325,0.894117476103122
5.5,5.6000000000000005,5.550000000000001,0.00013642574962413395,0.00014792327926195506,0.9222736969110839,0.0001214931,0.8905437597720751
5.6000000000000005,5.7,5.65,0.000137163962399963,0.00014817472007641407,0.9256907138358499,0.0001226612,0.8942669623550704
5.7,5.8,5.75,0.0001373783007053265,0.00014795947229583392,0.9284860142691564,0.0001238293,0.9013745210432553
5.8,5.9,5.85,0.00013735297997482618,0.00014731710398814736,0.9323627484957696,0.00012293758,0.89504850948652
5.9,6.0,5.95,0.00013673071665074824,0.0001461723624762732,0.9354074486751384,0.00012204586,0.8926001632225931
6.0,6.1000000000000005,6.050000000000001,0.00013552686832266254,0.00014434782704580068,0.9388909490106886,0.00012115414,0.8939492330890142
6.1000000000000005,6.2,6.15,0.00013393203548620256,0.0001421319852566219,0.9423074985154525,0.00012026242,0.8979361775800773
6.2,6.300000000000001,6.25,0.00013202576061929544,0.00013958021859491207,0.9458773023021185,0.0001193707,0.9041470349427707
6.300000000000001,6.4,6.3500000000000005,0.00012953613758807754,0.00013657799703459218,0.9484407474160638,0.00011643003999999998,0.8988228471829637
6.4,6.5,6.45,0.00012631637079600457,0.00013269995866100828,0.9518945753305692,0.00011348938,0.8984534568625344
6.5,6.6000000000000005,6.550000000000001,0.0001233857009425582,0.00012920769171549936,0.9549408344376238,0.00011054871999999997,0.8959605461208634
6.6000000000000005,6.7,6.65,0.00011910833995564436,0.00012428642225546525,0.9583375061744269,0.00010760805999999998,0.9034468958267149
6.7,6.800000000000001,6.75,0.00011480441957812667,0.0001195263531081944,0.9604946239278842,0.0001046674,0.9117018350393015
6.800000000000001,6.9,6.8500000000000005,0.00011044842549777797,0.00011450873857851923,0.9645414565635348,0.00010015952399999997,0.9068442899805303
6.9,7.0,6.95,0.00010575091697832451,0.00010908309809846803,0.9694528191971996,9.565164799999998e-05,0.9044994666060953
7.0,7.1000000000000005,7.050000000000001,0.00010073581871354724,0.00010350491164278084,0.9732467485331481,9.114377199999997e-05,0.9047801781328323
7.1000000000000005,7.2,7.15,9.526665498089865e-05,9.760493955848548e-05,0.9760433786633748,8.663589599999998e-05,0.9094041983249105
7.2,7.300000000000001,7.25,9.02385473514399e-05,9.212553750478617e-05,0.9795171870422115,8.212802e-05,0.910121255389308
7.300000000000001,7.4,7.3500000000000005,8.515203767897207e-05,8.700771907874684e-05,0.9786722210463272,7.754512199999998e-05,0.9106666629910773
7.4,7.5,7.45,7.953017385407887e-05,8.135784112063134e-05,0.9775354502850863,7.2962224e-05,0.9174156230799938
7.5,7.6000000000000005,7.550000000000001,7.481501610459767e-05,7.670848736818574e-05,0.9753160135396781,6.837932599999996e-05,0.9139786310331061
7.6000000000000005,7.7,7.65,6.946184209098497e-05,7.136364321787314e-05,0.9733505600172069,6.379642799999998e-05,0.9184384703825718
7.7,7.800000000000001,7.75,6.431084975586776e-05,6.612626151541888e-05,0.9725462816444294,5.921353e-05,0.9207393499663301
7.800000000000001,7.9,7.8500000000000005,5.992294011993986e-05,6.164834279892411e-05,0.972012180690535,5.548835599999998e-05,0.9259952180072647
7.9,8.0,7.95,5.5722630152328985e-05,5.7371422149441885e-05,0.9712610924509052,5.1763182e-05,0.9289436241343052
8.0,8.100000000000001,8.05,5.161346511062643e-05,5.316776748611143e-05,0.9707660778517545,4.803800799999997e-05,0.9307262726313191
8.100000000000001,8.2,8.15,4.768635349724653e-05,4.909117959044286e-05,0.9713833298585103,4.4312833999999986e-05,0.9292560816703812
8.2,8.3,8.25,4.4304775857458555e-05,4.559059539813244e-05,0.971796386306318,4.058766e-05,0.9161012377216938
8.3,8.4,8.350000000000001,4.041322973227596e-05,4.1590220781085044e-05,0.9717002933212519,3.780736399999996e-05,0.9355194883076907
8.4,8.5,8.45,3.769626244105494e-05,3.879864662690652e-05,0.9715870453819623,3.502706800000002e-05,0.9291920665814365
8.5,8.600000000000001,8.55,3.4547861012755905e-05,3.551855574152389e-05,0.9726707714178489,3.224677199999998e-05,0.9333941683999971
8.600000000000001,8.7,8.65,3.180277970342574e-05,3.267033977578521e-05,0.9734450244988729,2.946647599999999e-05,0.9265377515672291
8.7,8.8,8.75,2.918609908657524e-05,3.0007528841391515e-05,0.9726258780202114,2.668618e-05,0.9143455561101302
8.8,8.9,8.850000000000001,2.6839862447807372e-05,2.753792779936661e-05,0.9746507668752298,2.4823301999999975e-05,0.9248669604127522
8.9,9.0,8.95,2.450660488810091e-05,2.5112950473029756e-05,0.9758552629815428,2.2960424000000014e-05,0.9369075849077879
9.0,9.100000000000001,9.05,2.250067807460838e-05,2.306793332700645e-05,0.9754093596354396,2.1097545999999988e-05,0.9376404537696221
9.100000000000001,9.2,9.15,2.0878603242442858e-05,2.133395543234135e-05,0.9786559885089008,1.9234667999999993e-05,0.9212622021045447
