bytes	mtime_epoch	mime	shape	category	lane	git_blob	blob_in_canonical	cited_in_canonical_records	inspection	path
1037425	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	9a40fc835c95a2c9a9a67245cdc3b43079f8ced6	False			nd-unfolding/p3f_pet_fullevent/work/MuonResolution_0_1G/p3f_pet_validation_MuonResolution_0_1G.json.domain.json
1035450	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	95347ad72d79130472ef373a69acf897a2e3d643	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINERvA_0_1G/p3f_pet_validation_Muon_Energy_MINERvA_0_1G.json.domain.json
1035339	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	b4cb8c32c37bca02cb208fc83d0060167ebf356a	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINERvA_1_1G/p3f_pet_validation_Muon_Energy_MINERvA_1_1G.json.domain.json
1035062	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	080fcdf9ce5a0671a1412de17ef8d8b98bd6fc04	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleY_1_1G/p3f_pet_validation_BeamAngleY_1_1G.json.domain.json
1035041	1786035047	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	f0a1f50a2da642fa7b1a801959488bb357bdc570	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleX_0_1G/p3f_pet_validation_BeamAngleX_0_1G.json.domain.json
1035036	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	be9e6f4da21fa9baa767575b186e47650595f9bd	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleY_0_1G/p3f_pet_validation_BeamAngleY_0_1G.json.domain.json
1034557	1786035047	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	c5e6a856bfaf207fc760185e212e023624c3bcca	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleX_1_1G/p3f_pet_validation_BeamAngleX_1_1G.json.domain.json
1034184	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	6d0cab46a4a2cde3db7b3f071af9f65ce3714628	False			nd-unfolding/p3f_pet_fullevent/work/MuonResolution_1_1G/p3f_pet_validation_MuonResolution_1_1G.json.domain.json
1029744	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	65d04e2a6868e798d416b419e4d8af1883a88948	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINOS_0_1G/p3f_pet_validation_Muon_Energy_MINOS_0_1G.json.domain.json
961892	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	560f24d4742eff13a79a0f1a0e156c1940317575	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINOS_1_1N/p3f_pet_validation_Muon_Energy_MINOS_1_1N.json.domain.json
956192	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	bd572a8a7e84b404739d7302c3e7f38696030fd0	False			nd-unfolding/p3f_pet_fullevent/work/MuonResolution_0_1N/p3f_pet_validation_MuonResolution_0_1N.json.domain.json
955410	1786035047	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	29a7082a932a590d06deaab22c76b8d0a4a55e2c	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleX_0_1N/p3f_pet_validation_BeamAngleX_0_1N.json.domain.json
955153	1786035047	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	6a87ca80edad3f0ed3cef89a37f5747141b9dab4	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleX_1_1N/p3f_pet_validation_BeamAngleX_1_1N.json.domain.json
954733	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	179367a387026636cba3bbdd7b192e009141b65e	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleY_1_1N/p3f_pet_validation_BeamAngleY_1_1N.json.domain.json
954696	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	f22e2735e5b28fe62233d0a745f883b26682d6d4	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleY_0_1N/p3f_pet_validation_BeamAngleY_0_1N.json.domain.json
954289	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	cdcd8959068dde89ab138f541178c6546334d577	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINERvA_1_1N/p3f_pet_validation_Muon_Energy_MINERvA_1_1N.json.domain.json
954226	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	be2d0a3b627df01cac1a910a67c90c07a0293853	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINERvA_0_1N/p3f_pet_validation_Muon_Energy_MINERvA_0_1N.json.domain.json
