pt_low,pt_high,paper_pt_low,paper_pt_high,pz_low,pz_high,reported,ours,published,ratio
0.7,0.85,0.7,0.85,1.5,2.0,True,1.286165302030212e-40,1.33407521201154e-40,0.9640875495249712
0.7,0.85,0.7,0.85,2.0,2.5,True,6.379613399174518e-39,6.054762702021019e-39,1.0536520939202236
0.7,0.85,0.7,0.85,2.5,3.0,True,8.32118429986383e-39,7.94966956414449e-39,1.046733355735311
0.7,0.85,0.7,0.85,3.0,3.5,True,7.820852260965479e-39,7.773784186254597e-39,1.0060547184721318
0.7,0.85,0.7,0.85,3.5,4.0,True,7.251746288610702e-39,7.250667075406861e-39,1.0001488432985017
0.7,0.85,0.7,0.85,4.0,4.5,True,6.677762515404696e-39,6.58229464628659e-39,1.014503736804302
0.7,0.85,0.7,0.85,4.5,5.0,True,6.001255004166842e-39,6.0578111035449e-39,0.9906639381104236
0.7,0.85,0.7,0.85,5.0,6.0,True,4.620324545139194e-39,4.5900122370664606e-39,1.0066039710805013
0.7,0.85,0.7,0.85,6.0,7.0,True,2.8026617926565025e-39,2.7113430928043782e-39,1.033680245076499
0.7,0.85,0.7,0.85,7.0,8.0,True,1.4431251747675781e-39,1.4614261308638774e-39,0.9874773307320834
0.7,0.85,0.7,0.85,8.0,9.0,True,7.349457950477692e-40,7.39461926935962e-40,0.9938926782790483
0.7,0.85,0.7,0.85,9.0,10.0,True,4.21264230879307e-40,4.047430289975538e-40,1.0408189905646357
0.7,0.85,0.7,0.85,10.0,15.0,True,1.8062379760715785e-40,1.8001070758763747e-40,1.0034058530613903
0.7,0.85,0.7,0.85,15.0,20.0,True,7.44500919186498e-41,7.412047992025979e-41,1.0044469760415018
0.7,0.85,0.7,0.85,20.0,40.0,True,2.033927080861146e-41,1.9617169756371108e-41,1.0368096448778414
0.7,0.85,0.7,0.85,40.0,60.0,True,3.4227145358833994e-42,3.255937351631278e-42,1.0512224795015062
0.85,1.0,0.85,1.0,1.5,2.0,False,0.0,0.0,nan
