JobID|JobIDRaw|JobName|Account|QOS|Partition|State|ExitCode|Submit|Start|End|ElapsedRaw|NNodes|NCPUS|AllocTRES|WorkDir
58397664_23|58397664|pet-routing-matrix|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-15T17:28:26|2026-09-17T02:36:06|2026-09-17T03:09:19|1993|1|32|billing=32,cpu=32,energy=1703502,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-matrix-exec-20260916b
58398421|58398421|pet-matrix-closeout|m3246|shared|shared_milan_ss11|COMPLETED|0:0|2026-09-15T17:41:20|2026-09-17T03:11:40|2026-09-17T03:11:46|6|1|10|billing=10,cpu=10,mem=16G,node=1|/pscratch/sd/j/josephrb/pet-closeout-exec-20260916
58461843|58461843|pet-inference-benchmark|m3246_g|gpu_shared|shared_gpu_ss11|FAILED|124:0|2026-09-17T03:19:52|2026-09-17T03:20:55|2026-09-17T03:55:59|2104|1|32|billing=32,cpu=32,energy=1819683,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-bench-exec-20260917
58467879|58467879|pet-inference-benchmark|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-17T06:34:41|2026-09-17T06:35:39|2026-09-17T06:42:27|408|1|32|billing=32,cpu=32,energy=298357,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-bench-exec-20260917b
58470007|58470007|pet-source-characterization|m3246|shared|shared_milan_ss11|FAILED|1:0|2026-09-17T08:21:42|2026-09-17T08:24:51|2026-09-17T08:24:55|4|1|10|billing=10,cpu=10,mem=16G,node=1|/pscratch/sd/j/josephrb/pet-a1-exec-20260918
58470099|58470099|pet-source-characterization|m3246|shared|shared_milan_ss11|COMPLETED|0:0|2026-09-17T08:27:09|2026-09-17T08:32:13|2026-09-17T08:39:34|441|1|10|billing=10,cpu=10,energy=193960,mem=16G,node=1|/pscratch/sd/j/josephrb/pet-a1-exec-20260918
58470448|58470448|pet-four-arm-probe|m3246_g|gpu_shared|shared_gpu_ss11|FAILED|1:0|2026-09-17T08:44:10|2026-09-17T08:52:26|2026-09-17T09:03:08|642|1|32|billing=32,cpu=32,energy=345586,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-a1-exec-20260918
58470888|58470888|pet-four-arm-probe|m3246_g|gpu_shared|shared_gpu_ss11|FAILED|1:0|2026-09-17T09:06:13|2026-09-17T09:06:39|2026-09-17T09:07:02|23|1|32|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-a1-exec-20260918
58470936|58470936|pet-four-arm-probe|m3246_g|gpu_shared|shared_gpu_ss11|FAILED|1:0|2026-09-17T09:08:54|2026-09-17T09:09:58|2026-09-17T09:14:04|246|1|32|billing=32,cpu=32,energy=215387,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-a1-exec-20260918
58471178|58471178|pet-width-gate|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-17T09:17:02|2026-09-17T09:17:22|2026-09-17T09:23:36|374|1|32|billing=32,cpu=32,energy=370981,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-a1-exec-20260918
58471470|58471470|pet-width-gate|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-17T09:24:46|2026-09-17T09:25:43|2026-09-17T09:30:21|278|1|32|billing=32,cpu=32,energy=275397,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-a1-exec-20260918
58493028|58493028|pet-tail-validation|m3246_g|gpu_shared|shared_gpu_ss11|FAILED|1:0|2026-09-17T16:33:15|2026-09-17T16:37:03|2026-09-17T16:37:44|41|1|32|billing=32,cpu=32,energy=30452,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-a1-exec-20260918
58493578|58493578|pet-tail-validation|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-17T16:40:00|2026-09-17T16:40:38|2026-09-17T16:48:35|477|1|32|billing=32,cpu=32,energy=254332,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-a1-exec-20260918
58494208|58494208|pet-tail-validation|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-17T16:48:52|2026-09-17T16:50:40|2026-09-17T17:05:22|882|1|32|billing=32,cpu=32,energy=999878,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-a1-exec-20260918
58495932|58495932|pet-tail-validation|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-17T17:08:20|2026-09-17T17:10:17|2026-09-17T17:33:19|1382|1|32|billing=32,cpu=32,energy=1224491,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-a1-exec-20260918
58526214|58526214|pet-eavail-characterization|m3246|shared|shared_milan_ss11|CANCELLED by 112498|0:0|2026-09-18T06:47:42|None|2026-09-18T06:58:49|0|1|0||/pscratch/sd/j/josephrb/pet-a1-exec-20260918
58526558|58526558|pet-eavail-characterization|m3246|shared|shared_milan_ss11|FAILED|1:0|2026-09-18T06:58:55|2026-09-18T07:07:32|2026-09-18T07:07:37|5|1|26|billing=26,cpu=26,mem=48G,node=1|/pscratch/sd/j/josephrb/pet-a1-exec-20260918
58526592|58526592|pet-cost-calibration|m3246_g|gpu_shared|shared_gpu_ss11|FAILED|1:0|2026-09-18T06:59:57|2026-09-18T07:01:37|2026-09-18T07:01:55|18|1|32|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-a1-exec-20260918
58526817|58526817|pet-eavail-characterization|m3246|shared|shared_milan_ss11|CANCELLED by 112498|0:0|2026-09-18T07:09:01|None|2026-09-18T07:22:36|0|1|0||/pscratch/sd/j/josephrb/pet-a1-exec-20260918
58526818|58526818|pet-cost-calibration|m3246_g|gpu_shared|shared_gpu_ss11|FAILED|1:0|2026-09-18T07:09:01|2026-09-18T07:09:50|2026-09-18T07:11:09|79|1|32|billing=32,cpu=32,energy=59416,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-a1-exec-20260918
58527080|58527080|pet-cost-calibration|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-18T07:17:42|2026-09-18T07:20:27|2026-09-18T07:21:45|78|1|32|billing=32,cpu=32,energy=61069,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-cal-gpu-20260918
58527254|58527254|pet-eavail-characterization|m3246|shared|shared_milan_ss11|COMPLETED|0:0|2026-09-18T07:22:38|2026-09-18T07:25:20|2026-09-18T07:26:16|56|1|10|billing=10,cpu=10,energy=19554,mem=16G,node=1|/pscratch/sd/j/josephrb/pet-a1-exec-20260918
58551348|58551348|pet-cost-calibration|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-18T16:24:19|2026-09-18T16:26:29|2026-09-18T16:27:54|85|1|32|billing=32,cpu=32,energy=53729,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-cal-gpu-20260918
58551477|58551477|pet-cost-calibration|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-18T16:29:52|2026-09-18T16:31:07|2026-09-18T16:32:44|97|1|32|billing=32,cpu=32,energy=97274,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-cal-gpu-20260918
58552439|58552439|pet-matched-timing|m3246_g|gpu_shared|shared_gpu_ss11|CANCELLED by 112498|0:0|2026-09-18T17:22:00|None|2026-09-18T17:22:55|0|1|0||/pscratch/sd/j/josephrb/pet-cal-gpu-20260918
58552440|58552440|pet-region-census|m3246|shared|shared_milan_ss11|CANCELLED by 112498|0:0|2026-09-18T17:22:05|None|2026-09-18T17:22:55|0|1|0||/pscratch/sd/j/josephrb/pet-cal-gpu-20260918
