JobID|QOS|Submit|Start|State|ElapsedRaw|AllocTRES
58302608_28|shared|2026-09-14T04:44:07|2026-09-14T12:30:07|COMPLETED|3140|billing=50,cpu=50,energy=1642967,mem=90G,node=1
58302608_29|shared|2026-09-14T04:44:07|2026-09-14T12:30:07|COMPLETED|5330|billing=50,cpu=50,energy=3506952,mem=90G,node=1
58302608_30|shared|2026-09-14T04:44:07|2026-09-14T12:32:26|COMPLETED|2938|billing=50,cpu=50,energy=1639678,mem=90G,node=1
58302608_31|shared|2026-09-14T04:44:07|2026-09-14T12:40:58|COMPLETED|3096|billing=50,cpu=50,energy=1282928,mem=90G,node=1
58302608_32|shared|2026-09-14T04:44:07|2026-09-14T12:58:17|COMPLETED|3949|billing=50,cpu=50,energy=1855032,mem=90G,node=1
58302608_33|shared|2026-09-14T04:44:07|2026-09-14T13:05:33|COMPLETED|3764|billing=50,cpu=50,energy=1929413,mem=90G,node=1
58302608_34|shared|2026-09-14T04:44:07|2026-09-14T13:12:32|COMPLETED|3449|billing=50,cpu=50,energy=1751832,mem=90G,node=1
58302608_35|shared|2026-09-14T04:44:07|2026-09-14T13:21:34|COMPLETED|2663|billing=50,cpu=50,energy=1377474,mem=90G,node=1
58302608_36|shared|2026-09-14T04:44:07|2026-09-14T13:23:47|COMPLETED|3046|billing=50,cpu=50,energy=1719176,mem=90G,node=1
58302608_37|shared|2026-09-14T04:44:07|2026-09-14T13:23:47|COMPLETED|5221|billing=50,cpu=50,energy=2965794,mem=90G,node=1
58302608_38|shared|2026-09-14T04:44:07|2026-09-14T13:32:36|COMPLETED|4794|billing=50,cpu=50,energy=2584555,mem=90G,node=1
58302608_39|shared|2026-09-14T04:44:07|2026-09-14T13:34:46|COMPLETED|5218|billing=50,cpu=50,energy=3025083,mem=90G,node=1
58302610|shared|2026-09-14T04:44:10|2026-09-14T15:04:27|COMPLETED|2944|billing=50,cpu=50,energy=1711752,mem=90G,node=1
58320923|gpu_shared|2026-09-14T16:08:37|2026-09-14T16:10:35|COMPLETED|216|billing=32,cpu=32,energy=96840,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58347943|shared|2026-09-15T03:01:59|2026-09-15T03:50:16|FAILED|4|billing=36,cpu=36,mem=64G,node=1
58354056|shared|2026-09-15T05:16:48|2026-09-15T05:30:30|FAILED|13|billing=36,cpu=36,mem=64G,node=1
58354898|gpu_shared|2026-09-15T05:35:53|2026-09-15T05:46:56|FAILED|279|billing=32,cpu=32,energy=298216,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58356573|shared|2026-09-15T06:14:13|2026-09-15T06:45:23|FAILED|160|billing=36,cpu=36,energy=69998,mem=64G,node=1
58358282|shared|2026-09-15T06:49:44|2026-09-15T07:00:04|FAILED|162|billing=36,cpu=36,energy=58583,mem=64G,node=1
58395631|gpu_shared|2026-09-15T17:03:26|2026-09-15T17:04:24|COMPLETED|426|billing=32,cpu=32,energy=277352,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58396676_0|gpu_shared|2026-09-15T17:14:59|2026-09-15T17:16:06|FAILED|6|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58396676_[3-23%2]|gpu_shared|2026-09-15T17:14:59|None|CANCELLED by 112498|0|
58397664_0|gpu_shared|2026-09-15T17:28:26|2026-09-15T17:30:44|COMPLETED|1868|billing=32,cpu=32,energy=1260155,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_1|gpu_shared|2026-09-15T17:28:26|2026-09-15T17:34:27|COMPLETED|1986|billing=32,cpu=32,energy=1454172,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_2|gpu_shared|2026-09-15T17:28:26|2026-09-16T20:10:52|COMPLETED|2037|billing=32,cpu=32,energy=1612589,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_3|gpu_shared|2026-09-15T17:28:26|2026-09-16T20:10:52|COMPLETED|1928|billing=32,cpu=32,energy=1398837,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_4|gpu_shared|2026-09-15T17:28:26|2026-09-16T20:43:15|COMPLETED|2291|billing=32,cpu=32,energy=1902135,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_5|gpu_shared|2026-09-15T17:28:26|2026-09-16T20:45:16|COMPLETED|1932|billing=32,cpu=32,energy=1475079,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_6|gpu_shared|2026-09-15T17:28:26|2026-09-16T21:18:12|COMPLETED|1990|billing=32,cpu=32,energy=1508346,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_7|gpu_shared|2026-09-15T17:28:26|2026-09-16T21:22:14|COMPLETED|2349|billing=32,cpu=32,energy=1990637,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_8|gpu_shared|2026-09-15T17:28:26|2026-09-16T21:55:04|COMPLETED|1936|billing=32,cpu=32,energy=1396813,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_9|gpu_shared|2026-09-15T17:28:26|2026-09-16T22:02:12|COMPLETED|2301|billing=32,cpu=32,energy=1930741,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_10|gpu_shared|2026-09-15T17:28:26|2026-09-16T22:28:23|COMPLETED|2178|billing=32,cpu=32,energy=1310732,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_11|gpu_shared|2026-09-15T17:28:26|2026-09-16T22:41:29|COMPLETED|1988|billing=32,cpu=32,energy=1531001,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_12|gpu_shared|2026-09-15T17:28:26|2026-09-16T23:05:36|COMPLETED|2171|billing=32,cpu=32,energy=1357312,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_13|gpu_shared|2026-09-15T17:28:26|2026-09-16T23:15:06|COMPLETED|2049|billing=32,cpu=32,energy=1481523,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_14|gpu_shared|2026-09-15T17:28:26|2026-09-16T23:42:20|COMPLETED|2114|billing=32,cpu=32,energy=1329484,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_15|gpu_shared|2026-09-15T17:28:26|2026-09-16T23:49:47|COMPLETED|2051|billing=32,cpu=32,energy=1509365,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_16|gpu_shared|2026-09-15T17:28:26|2026-09-17T00:18:51|COMPLETED|2171|billing=32,cpu=32,energy=1349578,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_17|gpu_shared|2026-09-15T17:28:26|2026-09-17T00:29:14|COMPLETED|1990|billing=32,cpu=32,energy=1527762,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_18|gpu_shared|2026-09-15T17:28:26|2026-09-17T00:56:12|COMPLETED|2172|billing=32,cpu=32,energy=1365481,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_19|gpu_shared|2026-09-15T17:28:26|2026-09-17T01:03:00|COMPLETED|1988|billing=32,cpu=32,energy=1520969,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_20|gpu_shared|2026-09-15T17:28:26|2026-09-17T01:33:31|COMPLETED|1934|billing=32,cpu=32,energy=1281670,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_21|gpu_shared|2026-09-15T17:28:26|2026-09-17T02:01:50|COMPLETED|1994|billing=32,cpu=32,energy=1651725,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_22|gpu_shared|2026-09-15T17:28:26|2026-09-17T02:06:35|COMPLETED|1929|billing=32,cpu=32,energy=1331232,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58397664_23|gpu_shared|2026-09-15T17:28:26|2026-09-17T02:36:06|COMPLETED|1993|billing=32,cpu=32,energy=1703502,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58398421|shared|2026-09-15T17:41:20|2026-09-17T03:11:40|COMPLETED|6|billing=10,cpu=10,mem=16G,node=1
58398465|shared|2026-09-15T17:42:15|2026-09-15T17:49:45|FAILED|79|billing=36,cpu=36,energy=33231,mem=64G,node=1
58403382|shared|2026-09-15T18:57:12|2026-09-15T18:59:57|COMPLETED|95|billing=36,cpu=36,energy=42713,mem=64G,node=1
58403491|shared|2026-09-15T19:03:26|2026-09-15T19:04:13|FAILED|6|billing=36,cpu=36,mem=64G,node=1
58403564|shared|2026-09-15T19:06:46|2026-09-15T19:07:46|FAILED|8|billing=36,cpu=36,mem=64G,node=1
58454524|shared|2026-09-17T00:14:11|2026-09-17T00:21:56|FAILED|1037|billing=36,cpu=36,energy=496487,mem=64G,node=1
58461843|gpu_shared|2026-09-17T03:19:52|2026-09-17T03:20:55|FAILED|2104|billing=32,cpu=32,energy=1819683,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58467879|gpu_shared|2026-09-17T06:34:41|2026-09-17T06:35:39|COMPLETED|408|billing=32,cpu=32,energy=298357,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58470007|shared|2026-09-17T08:21:42|2026-09-17T08:24:51|FAILED|4|billing=10,cpu=10,mem=16G,node=1
58470099|shared|2026-09-17T08:27:09|2026-09-17T08:32:13|COMPLETED|441|billing=10,cpu=10,energy=193960,mem=16G,node=1
58470448|gpu_shared|2026-09-17T08:44:10|2026-09-17T08:52:26|FAILED|642|billing=32,cpu=32,energy=345586,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58470888|gpu_shared|2026-09-17T09:06:13|2026-09-17T09:06:39|FAILED|23|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58470936|gpu_shared|2026-09-17T09:08:54|2026-09-17T09:09:58|FAILED|246|billing=32,cpu=32,energy=215387,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58471178|gpu_shared|2026-09-17T09:17:02|2026-09-17T09:17:22|COMPLETED|374|billing=32,cpu=32,energy=370981,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58471470|gpu_shared|2026-09-17T09:24:46|2026-09-17T09:25:43|COMPLETED|278|billing=32,cpu=32,energy=275397,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58493028|gpu_shared|2026-09-17T16:33:15|2026-09-17T16:37:03|FAILED|41|billing=32,cpu=32,energy=30452,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58493578|gpu_shared|2026-09-17T16:40:00|2026-09-17T16:40:38|COMPLETED|477|billing=32,cpu=32,energy=254332,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58494208|gpu_shared|2026-09-17T16:48:52|2026-09-17T16:50:40|COMPLETED|882|billing=32,cpu=32,energy=999878,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58495932|gpu_shared|2026-09-17T17:08:20|2026-09-17T17:10:17|COMPLETED|1382|billing=32,cpu=32,energy=1224491,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58506753|shared|2026-09-17T22:38:15|2026-09-17T22:45:08|FAILED|4|billing=10,cpu=10,mem=16G,node=1
58507305|shared|2026-09-17T22:50:36|2026-09-17T23:01:23|COMPLETED|54|billing=10,cpu=10,energy=14996,mem=16G,node=1
58509947|shared|2026-09-17T23:30:55|2026-09-17T23:37:36|COMPLETED|198|billing=10,cpu=10,energy=122767,mem=16G,node=1
58510024|shared|2026-09-17T23:35:05|2026-09-17T23:42:08|COMPLETED|50|billing=10,cpu=10,energy=16282,mem=16G,node=1
58510551|shared|2026-09-18T00:07:03|2026-09-18T00:31:45|FAILED|1011|billing=50,cpu=50,energy=621377,mem=90G,node=1
58524334|shared|2026-09-18T05:50:17|2026-09-18T06:02:08|COMPLETED|2184|billing=50,cpu=50,energy=1440484,mem=90G,node=1
58526214|shared|2026-09-18T06:47:42|None|CANCELLED by 112498|0|
58526558|shared|2026-09-18T06:58:55|2026-09-18T07:07:32|FAILED|5|billing=26,cpu=26,mem=48G,node=1
58526592|gpu_shared|2026-09-18T06:59:57|2026-09-18T07:01:37|FAILED|18|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58526817|shared|2026-09-18T07:09:01|None|CANCELLED by 112498|0|
58526818|gpu_shared|2026-09-18T07:09:01|2026-09-18T07:09:50|FAILED|79|billing=32,cpu=32,energy=59416,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58527080|gpu_shared|2026-09-18T07:17:42|2026-09-18T07:20:27|COMPLETED|78|billing=32,cpu=32,energy=61069,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58527254|shared|2026-09-18T07:22:38|2026-09-18T07:25:20|COMPLETED|56|billing=10,cpu=10,energy=19554,mem=16G,node=1
58530252|shared|2026-09-18T08:39:56|2026-09-18T08:46:24|COMPLETED|36|billing=26,cpu=26,energy=18976,mem=48G,node=1
58530433|shared|2026-09-18T08:41:15|2026-09-18T08:46:24|COMPLETED|35|billing=26,cpu=26,energy=20208,mem=48G,node=1
58531919|shared|2026-09-18T09:13:11|2026-09-18T09:26:59|FAILED|593|billing=50,cpu=50,energy=335182,mem=90G,node=1
58547629|shared|2026-09-18T15:03:36|2026-09-18T15:53:43|COMPLETED|2348|billing=50,cpu=50,energy=1197795,mem=90G,node=1
58549890|regular_1|2026-09-18T15:54:28|2026-09-18T17:28:39|COMPLETED|81|billing=256,cpu=256,energy=18316,mem=487802M,node=1
58551348|gpu_shared|2026-09-18T16:24:19|2026-09-18T16:26:29|COMPLETED|85|billing=32,cpu=32,energy=53729,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58551477|gpu_shared|2026-09-18T16:29:52|2026-09-18T16:31:07|COMPLETED|97|billing=32,cpu=32,energy=97274,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58552175|shared|2026-09-18T17:07:11|None|CANCELLED by 112498|0|
58552413|shared|2026-09-18T17:20:42|2026-09-18T17:39:46|FAILED|5|billing=26,cpu=26,mem=48G,node=1
58552439|gpu_shared|2026-09-18T17:22:00|None|CANCELLED by 112498|0|
58552440|shared|2026-09-18T17:22:05|None|CANCELLED by 112498|0|
58552475|gpu_shared|2026-09-18T17:23:57|2026-09-18T17:25:39|CANCELLED by 112498|115|billing=32,cpu=32,energy=85693,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58552476|shared|2026-09-18T17:24:00|None|CANCELLED by 112498|0|
58552592|gpu_shared|2026-09-18T17:28:41|2026-09-18T17:30:32|FAILED|289|billing=32,cpu=32,energy=252730,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1
58552598|shared|2026-09-18T17:28:47|None|CANCELLED by 112498|0|
58552664|regular_1|2026-09-18T17:32:08|2026-09-18T18:43:42|FAILED|58|billing=256,cpu=256,energy=9098,mem=487802M,node=1
